"name";"sub_id";"max_score";"avg_score"
"Agric Science";"agri";"100";"100"
"Basic Science";"basi";"100";"100"
"Bible Knowledge";"bibl";"100";"100"
"Civic Education";"civi";"100";"100"
"Computer";"com";"100";"100"
"Creative/Fine Arts";"crea";"100";"100"
"Current Affairs";"curr";"100";"100"
"English Language";"engl";"100";"100"
"French";"Fren";"100";"100"
"Hand Writing";"hand";"100";"100"
"Health Habit";"heal";"100";"100"
"Health Education";"heed";"100";"100"
"History";"hist";"100";"100"
"Home Economics";"home";"100";"100"
"Language Arts";"lang";"100";"100"
"Literature";"lite";"100";"100"
"Mathematics";"math";"100";"100"
"Morals";"mora";"100";"100"
"Numeracy";"nume";"100";"100"
"Phonics";"phon";"100";"100"
"Phonetics";"pont";"100";"100"
"Quantitative Reasoning";"quan";"100";"100"
"Reading";"read";"100";"100"
"Rhymes";"rhym";"100";"100"
"Science";"scie";"100";"100"
"Shapes & Colors";"shap";"100";"100"
"Social Habit";"soci";"100";"100"
"Social Studies";"sost";"100";"100"
"Spelling & Dictation";"spel";"100";"100"
"Verbal Reasoning";"verb";"100";"100"
"Vocational Attitude";"voca";"100";"100"
"Writing";"writ";"100";"100"
